"","ISO3","NAMEfr","NAMEen","name","gdp","source"
"1","AFG","Afghanistan","Afghanistan","Afghanistan","19.692","IMF (2021)"
"2","AGO","Angola","Angola","Angola","68.072000000000003","IMF (2021)"
"3","ALB","Albanie","Albania","Albania","14.763","IMF (2021)"
"4","AND","Andorre","Andorra",NA,"3.15405798723833","World Bank (2019)"
"5","ARE","Émirats arabes unis","United Arab Emirates","United Arab Emirates","373.14499999999998","IMF (2021)"
"6","ARG","Argentine","Argentina","Argentina","416.93799999999999","IMF (2021)"
"7","ARM","Arménie","Armenia","Armenia","13.146000000000001","IMF (2021)"
"8","ATA","Antarctique","Antarctica",NA,NA,NA
"9","ATG","Antigua-et-Barbuda","Antigua and Barbuda","Antigua and Barbuda","1.468","IMF (2021)"
"10","AUS","Australie","Australia","Australia","1480.355","IMF (2021)"
"11","AUT","Autriche","Austria","Austria","490.39499999999998","IMF (2021)"
"12","AZE","Azerbaïdjan","Azerbaijan","Azerbaijan","45.018000000000001","IMF (2021)"
"13","BDI","Burundi","Burundi","Burundi","3.266","IMF (2021)"
"14","BEL","Belgique","Belgium","Belgium","576.76800000000003","IMF (2021)"
"15","BEN","Bnin","Benin","Benin","17.489000000000001","IMF (2021)"
"16","BFA","Burkina Faso","Burkina Faso","Burkina Faso","18.314","IMF (2021)"
"17","BGD","Bangladesh","Bangladesh","Bangladesh","338.38499999999999","IMF (2021)"
"18","BGR","Bulgarie","Bulgaria","Bulgaria","77.971000000000004","IMF (2021)"
"19","BHR","Bahren","Bahrain","Bahrain","36.601999999999997","IMF (2021)"
"20","BHS","Bahamas","Bahamas","Bahamas, The","12.275","IMF (2021)"
"21","BIH","Bosnie-Herzégovine","Bosnia and Herzegovina","Bosnia and Herzegovina","21.327999999999999","IMF (2021)"
"22","BLR","Biélorussie","Belarus","Belarus","60.969000000000001","IMF (2021)"
"23","BLZ","Belize","Belize","Belize","1.6910000000000001","IMF (2021)"
"24","BOL","Bolivie","Bolivia","Bolivia","43.039000000000001","IMF (2021)"
"25","BRA","Brésil","Brazil","Brazil","1431.624","IMF (2021)"
"26","BRB","Barbade","Barbados","Barbados","5.0430000000000001","IMF (2021)"
"27","BRN","Brunei","Brunei","Brunei Darussalam","12.128","IMF (2021)"
"28","BTN","Bhoutan","Bhutan","Bhutan","2.6299999999999999","IMF (2021)"
"29","BWA","Botswana","Botswana","Botswana","17.344000000000001","IMF (2021)"
"30","CAF","Centrafrique","Central African Republic","Central African Republic","2.5670000000000002","IMF (2021)"
"31","CAN","Canada","Canada","Canada","1763.046","IMF (2021)"
"32","CHE","Suisse","Switzerland","Switzerland","790.65499999999997","IMF (2021)"
"33","CHL","Chili","Chile","Chile","280.16699999999997","IMF (2021)"
"34","CHN","Chine","China","China, People's Republic of","16492.811000000002","IMF (2021)"
"35","CIV","Côte d'Ivoire","Ivory Coast","Côte d'Ivoire","71.103999999999999","IMF (2021)"
"36","CMR","Cameroun","Cameroon","Cameroon","44.405999999999999","IMF (2021)"
"37","COD","Congo-Kinshasa","Congo-Kinshasa","Congo, Dem. Rep. of the","49.624000000000002","IMF (2021)"
"38","COG","Congo-Brazzaville","Congo-Brazzaville","Congo, Republic of","10.898999999999999","IMF (2021)"
"39","COL","Colombie","Colombia","Colombia","280.40100000000001","IMF (2021)"
"40","COM","Comores","Comoros","Comoros","1.3180000000000001","IMF (2021)"
"41","CPV","Cap-Vert","Cape Verde","Cabo Verde","2.0710000000000002","IMF (2021)"
"42","CRI","Costa Rica","Costa Rica","Costa Rica","61.186","IMF (2021)"
"43","CUB","Cuba","Cuba",NA,"100.023","World Bank (2018)"
"44","CYP","Chypre","Cyprus","Cyprus","26.599","IMF (2021)"
"45","CZE","Tchéquie","Czechia","Czech Republic","278.88900000000001","IMF (2021)"
"46","DEU","Allemagne","Germany","Germany","4318.4849999999997","IMF (2021)"
"47","DJI","Djibouti","Djibouti","Djibouti","3.7320000000000002","IMF (2021)"
"48","DMA","Dominique","Dominica","Dominica","0.57399999999999995","IMF (2021)"
"49","DNK","Danemark","Denmark","Denmark","370.59199999999998","IMF (2021)"
