"","id","country","name","gdppc1995","gdppc1996","gdppc1997","gdppc1998","gdppc1999","gdppc2000","gdppc2001","gdppc2002","gdppc2003","gdppc2004","gdppc2005","gdppc2006","gdppc2007","gdppc2008","gdppc2009","gdppc2010","gdppc2011","gdppc2012","gdppc2013","gdppc2014","gdppc2015","gdppc2016","gdppc2017","gdppc2018"
"4","ME01","MEX","Aguascalientes",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16384,16620,16639,17256,18297,17604,16887,17385,17463,18270,18513,20164,21591,23906,24514,25205
"5","US01","USA","Alabama",NULL,NULL,33520,34549,35603,35921,35971,36853,37668,39945,40883,41155,41114,40650,39000,39788,40330,40512,40797,40529,41300,41480,41924,43023
"6","US02","USA","Alaska",NULL,NULL,59079,54232,54280,57193,58858,59547,62206,65517,71436,76504,81507,88457,78203,80708,83148,82676,79058,76196,68667,65894,68033,70609
"7","CA48","CAN","Alberta",40371,41984,44198,43278,45420,52791,53544,51556,55498,59049,64711,66801,66821,71241,59156,62318,65946,66485,69691,73287,62651,57673,60763,61124
"21","US04","USA","Arizona",NULL,NULL,39321,40844,42399,42781,42675,42955,44369,44888,46820,47869,48156,45868,42387,42208,42532,42860,42699,42700,43507,44360,45166,46145
"22","US05","USA","Arkansas",NULL,NULL,32374,33072,34548,34434,34425,35308,36411,38013,38596,38890,38534,38234,36931,37918,38501,38573,39730,39954,39879,39848,39936,40464
"34","ME02","MEX","Baja California Norte",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21973,22114,21705,22158,21544,20480,18358,18344,18019,18526,18470,18884,21040,21799,21891,22059
"35","ME03","MEX","Baja California Sur",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21354,21979,22700,22953,24921,24492,24122,23314,22867,22307,21485,20924,23693,24016,26094,30122
"50","CA59","CAN","British Columbia",34039,33615,34360,34467,35235,36408,36108,36783,37377,38911,40229,41704,42006,41044,39778,39898,40515,40285,40394,41150,42071,43193,44553,45031
"60","US06","USA","California",NULL,NULL,46353,48400,51045,53926,52684,53218,54952,56671,58638,60511,61090,60401,57259,57649,58130,59176,60862,62702,65619,67163,69582,72042
"62","ME04","MEX","Campeche",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,99778,123605,136449,142558,142830,146987,103476,111436,129212,121400,109884,101534,61360,54448,58999,62473
"96","ME07","MEX","Chiapas",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7666,7278,7195,7362,7307,7399,7078,7369,7419,7530,7361,7579,7424,7404,6982,6741
"97","ME08","MEX","Chihuahua",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16668,16780,16778,17548,17808,17334,15959,16292,16140,17406,17572,17981,20082,21081,21255,21174
"102","ME09","MEX","City of Mexico",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34593,35079,35826,36756,37108,36791,36569,37449,37873,38842,40318,40952,42465,43814,43779,44531
"103","ME05","MEX","Coahuila",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22903,23203,22849,23468,23994,23859,20706,23441,24698,25716,24981,25681,27041,27903,29095,29422
"104","ME06","MEX","Colima",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16844,16122,15908,16240,16948,16724,16042,16625,17120,17239,17563,17677,17850,18822,19401,19709
"105","US08","USA","Colorado",NULL,NULL,47844,50813,53285,55981,55623,54943,55031,55071,56870,56947,57991,58049,55109,55076,55108,55159,56310,57899,58444,58852,60588,61946
"106","US09","USA","Connecticut",NULL,NULL,58228,60136,61683,65216,66188,65820,66014,70187,71307,73674,76251,75465,73155,72346,70349,71025,70604,69956,72502,72941,72944,73214
"114","US10","USA","Delaware",NULL,NULL,61709,67027,71415,74002,76611,73332,74060,76490,73919,74511,73096,68844,70297,69578,70992,70914,67598,72481,75399,72542,71857,72178
"115","US11","USA","District Of Columbia",NULL,NULL,129955,135053,141472,143242,149780,157912,165307,175067,180173,180339,185231,190415,187783,191041,189544,185934,181738,182823,185389,187362,187387,190146
"117","ME10","MEX","Durango",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13512,13539,13079,13138,13189,13195,13181,13208,13823,14218,14673,14871,15321,16021,15544,15282
"139","US12","USA","Florida",NULL,NULL,37210,38628,39877,40910,41457,42464,43543,45074,46777,47645,47383,44990,42818,42655,41831,41746,42158,42741,44294,45075,45676,46392
"146","US13","USA","Georgia",NULL,NULL,44403,46857,49250,50146,49938,49644,50074,51306,51906,51067,50271,48249,46632,46769,46770,46971,47530,48760,50456,51835,52861,53426
"155","ME11","MEX","Guanajuato",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11701,11821,11507,12357,12220,12406,11774,12432,12942,13477,13945,14576,15913,16464,17405,17714
"157","ME12","MEX","Guerrero",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7940,8086,8070,8002,8198,7989,7878,8131,8047,8193,8330,8663,8954,9105,8968,9115
"163","US15","USA","Hawaii",NULL,NULL,43715,43065,44468,45866,45919,47367,49604,52140,54362,55362,56139,55744,53767,54476,54536,55243,55384,55612,58162,59517,60992,62617
"168","ME13","MEX","Hidalgo",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9433,10390,9350,10746,10465,10803,9602,10304,10521,11293,11041,11583,12555,12277,13008,13502
"173","US16","USA","Idaho",NULL,NULL,33707,34414,36694,39214,37170,37317,37532,38816,40226,40355,40511,40208,38132,38269,38062,37917,38973,39349,39977,40610,41129,41743
"174","US17","USA","Illinois",NULL,NULL,47993,49438,50960,52552,52782,53024,53486,54818,55732,57183,57778,56318,55530,56226,57088,58583,59027,60019,61669,62248,62855,64499
"175","US18","USA","Indiana",NULL,NULL,40283,42799,43801,44704,43816,44583,45748,46952,46501,46827,47752,47166,44579,47024,47290,47660,48361,49793,49941,50444,51228,51954
"177","US19","USA","Iowa",NULL,NULL,40174,40512,41198,42597,42421,43580,45301,48782,49387,49461,51711,50274,49518,50529,51243,53530,53335,55750,57185,56750,56232,57137
"180","ME14","MEX","Jalisco",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17110,16840,16881,17125,17177,16735,15946,16581,16566,17138,17648,18385,19450,20436,20472,20708
"185","US20","USA","Kansas",NULL,NULL,39853,41029,41905,42747,42925,43303,44068,44122,45350,47404,49805,50501,48383,48697,50333,50985,50943,51636,52380,53335,53844,54828
"186","US21","USA","Kentucky",NULL,NULL,37217,38272,39332,37858,37884,38600,39117,39978,40852,41612,41105,40932,39774,41246,41505,42089,42607,42694,43363,43563,43795,44235
"204","US22","USA","Louisiana",NULL,NULL,37064,37725,38727,39832,40401,40086,43307,46092,51709,55611,53472,53852,50769,54106,53411,53172,50953,51930,50229,48074,49753,52364
"214","US23","USA","Maine",NULL,NULL,34338,35535,37215,38691,39301,40060,40618,41865,41668,42094,41934,41716,41912,42437,41674,41701,41628,42372,43309,44423,45159,45933
"217","CA46","CAN","Manitoba",28878,29696,30449,31982,32326,32847,33282,34092,33636,34396,34879,36631,37635,37693,37250,37622,38018,39442,39944,39933,40890,40727,41352,40945
"220","US24","USA","Maryland",NULL,NULL,43458,45430,47025,48513,50167,51841,52776,54948,56960,57741,57654,57913,58187,59563,59958,59558,59291,59711,61330,63456,63581,64826
"221","US25","USA","Massachusetts",NULL,NULL,53616,55258,57470,61129,60892,61197,62270,63695,64648,65527,66876,66715,66170,67992,68679,69832,69648,70714,74013,75339,76584,78469
"232","ME15","MEX","Mexico",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10675,10516,10488,10567,10647,10489,10019,10477,10594,10900,11191,11401,11775,11943,11928,11992
"233","US26","USA","Michigan",NULL,NULL,42998,44155,46767,47378,45782,46731,47224,46829,46982,45812,45707,43106,40698,42647,43317,44317,44922,45701,47756,48915,49245,50067
"234","ME16","MEX","Michoacan",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9085,9222,9358,9649,9899,10030,9641,9865,10387,10461,10645,11393,11680,12309,12829,12859
"236","US27","USA","Minnesota",NULL,NULL,46044,48055,49139,51641,51267,52196,54003,55906,56823,56232,56279,56027,54256,55766,56657,57318,58200,59274,60104,60772,61332,62395
"237","US28","USA","Mississippi",NULL,NULL,29551,30247,30943,30910,30834,31124,32429,33012,33387,34368,35208,36488,34722,34921,34529,34960,34997,35189,35431,35476,35830,36532
"238","US29","USA","Missouri",NULL,NULL,41869,42665,43724,44799,44482,44759,45323,46034,46235,46121,46185,46980,46556,46981,46185,46717,47335,47501,48552,48386,48511,49407
"240","US30","USA","Montana",NULL,NULL,30519,31866,31823,32477,33067,33842,35361,37107,38900,40192,42339,41930,40309,41852,43425,43821,43802,43997,44788,43226,43898,44998
"243","ME17","MEX","Morelos",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14199,13856,14445,13651,13450,12869,12727,13021,12627,12534,13036,12933,13200,13581,13963,13473
"247","ME18","MEX","Nayarit",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10984,12085,12281,12070,11765,12363,11587,11927,11892,11572,11797,12176,12869,13260,13266,12912
"248","US31","USA","Nebraska",NULL,NULL,41610,42512,43183,44218,45379,46052,48453,49628,50293,51257,52772,52677,52799,54677,57758,57785,59367,59766,60979,60350,61107,61058
"249","US32","USA","Nevada",NULL,NULL,48315,49024,50698,50909,50301,50360,51202,54972,58045,58798,57286,54147,49724,49832,49830,48864,48424,48467,50309,51298,51959,53038
"250","CA13","CAN","New Brunswick",26729,26638,26551,27842,29611,30011,30416,30885,31376,32119,32656,33371,34203,33395,34131,34598,34821,34539,34042,33971,35324,35766,36266,36556
"251","US33","USA","New Hampshire",NULL,NULL,45193,46781,46992,48921,48743,49556,50920,51821,51984,52795,52390,51416,51873,53082,52894,53527,54443,54820,56896,57866,58268,59183
"252","US34","USA","New Jersey",NULL,NULL,52696,53700,55219,57590,57758,58663,59753,60494,61024,62345,62698,63127,61247,61309,60339,61534,62010,62313,64240,64984,65087,66383
"253","US35","USA","New Mexico",NULL,NULL,41617,39308,40263,40675,40114,40428,42490,45247,45678,45879,45842,46247,44385,44324,44438,43948,43486,44719,43541,43082,43779,45451
"255","US36","USA","New York",NULL,NULL,54159,55267,57636,59195,60325,59866,59881,61540,63550,65203,65624,63545,65814,68178,67653,70752,71087,73399,75695,77612,79550,81037
"256","CA10","CAN","Newfoundland and Labrador",22573,21985,22300,23986,26090,28944,29382,33781,36078,37386,41289,44749,51383,53408,42866,47994,53301,50181,52982,51582,47279,47347,48006,48215
"262","US37","USA","North Carolina",NULL,NULL,42974,43801,45548,45753,46147,46258,46583,47372,48489,50005,49217,49316,47413,47250,47210,47213,47624,48420,50204,50597,50937,51493
"264","US38","USA","North Dakota",NULL,NULL,34056,36073,36146,37552,38854,40913,43836,44386,45270,46763,49742,53579,53047,57207,64138,76681,76797,80364,72954,66689,67521,70159
"291","CA61","CAN","Northwest Territories",NULL,NULL,NULL,NULL,67369,70921,81888,80511,92732,102468,97612,95520,96785,100220,82258,95788,90728,82928,82883,86549,85513,79263,78972,80213
"294","CA12","CAN","Nova Scotia",25200,24968,25799,27120,28726,29503,30486,31464,32320,32363,32718,32488,32713,32793,33030,33732,33315,33115,33342,33713,34823,35091,35062,35242
"295","ME19","MEX","Nuevo Leon",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,27934,28920,29234,30464,31332,30765,28815,30012,29951,30751,30543,31334,32994,33123,33590,34477
"296","CA62","CAN","Nunavut",NULL,NULL,NULL,NULL,34054,35010,35207,37107,35567,36852,36518,37435,37781,42491,41769,49422,49647,52270,52587,52617,53165,55535,62433,68384
"298","ME20","MEX","Oaxaca",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7612,7929,7322,8312,7955,8139,7801,8111,8190,8546,8319,8663,9139,8450,8630,9288
"300","US39","USA","Ohio",NULL,NULL,42841,44469,45486,46164,45596,46656,47134,48053,48674,48322,48337,47814,45922,46947,48570,49037,49874,51672,52573,52986,53767,54897
"301","US40","USA","Oklahoma",NULL,NULL,32986,33173,33535,35251,36629,36719,38087,39645,42047,44346,45140,48331,43210,44310,46493,47572,48773,50811,47560,45101,46547,48752
"302","CA35","CAN","Ontario",36329,36369,37654,39315,40953,41792,41878,42928,42276,42344,42379,42465,42439,40886,40763,41389,41523,41881,41723,42405,44453,45323,45612,45650
"304","US41","USA","Oregon",NULL,NULL,42948,43612,43449,45854,44381,44579,45486,47143,47627,49141,49127,48681,46491,46514,47029,46864,47063,48154,50590,52041,53130,54377
"311","US42","USA","Pennsylvania",NULL,NULL,40969,42339,43573,44508,45347,45785,46649,47944,48644,48919,50535,51272,50242,51371,51830,52601,53476,54611,55629,56228,56542,58021
"318","CA11","CAN","Prince Edward Island",23441,24153,23900,25177,26164,26811,26833,28430,28166,28820,29463,29882,30286,29674,31243,31785,31459,31838,32401,32247,33748,34502,34637,34717
"322","ME21","MEX","Puebla",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10154,10027,10454,10628,10888,10821,10135,10671,10989,11586,11480,11435,11940,12167,12863,12907
"325","CA24","CAN","Quebec",29685,29543,30444,31571,33197,33852,34323,35269,35244,35567,35323,35473,35880,35139,35614,35728,36013,36303,36518,36727,37996,38597,39211,39936
"327","ME22","MEX","Queretaro",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17786,18416,19479,20078,20528,20614,20241,20824,21612,22001,22082,23227,25180,26469,26816,27160
"329","ME23","MEX","Quintana Roo",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21519,21769,21327,21529,22534,22307,20193,20108,19679,20020,20350,20885,21602,22643,22302,22297
"331","US44","USA","Rhode Island",NULL,NULL,39687,41439,42563,44077,44683,46216,47681,49708,50657,52180,51237,49592,50111,51246,50824,51277,51900,52081,53746,54035,53839,54294
"336","ME24","MEX","San Luis Potosi",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12475,13074,13548,14122,14298,14178,13545,14058,14440,14996,15285,15659,16855,17421,18438,19223
"340","CA47","CAN","Saskatchewan",30896,33088,32828,33673,34541,36720,35771,36880,38241,40943,43079,43253,47040,57507,51429,51903,58547,59293,61264,59163,56956,52992,53664,52888
"348","ME25","MEX","Sinaloa",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13708,14450,14078,14009,14613,15011,14572,14603,14696,15109,15284,15293,16435,17363,17145,17258
"350","ME26","MEX","Sonora",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20070,20617,21399,22674,22689,22010,20777,21255,22770,23475,24008,23908,25105,26744,26795,26477
"354","US45","USA","South Carolina",NULL,NULL,35494,36784,38034,38409,38517,39050,39834,39646,40006,40196,40602,39679,38384,38512,38854,38930,39534,40206,41685,42518,43165,43635
"356","US46","USA","South Dakota",NULL,NULL,35911,37633,38465,40263,40712,44772,45581,47503,47357,47364,49633,50963,49430,50040,53832,54577,54753,54793,55917,55745,55356,56138
"386","ME27","MEX","Tabasco",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,19070,21786,23995,26131,27139,30293,26743,29978,34548,34655,31813,31583,24749,22667,22801,21673
"387","ME28","MEX","Tamaulipas",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,19678,20065,20657,20982,20819,21333,18537,18335,17959,18260,18341,18500,19331,19038,19013,19189
"393","US47","USA","Tennessee",NULL,NULL,39497,41781,42754,42709,42396,43532,44212,45559,45606,45866,44781,44730,43793,43877,44639,46035,46398,46929,48954,49894,50095,50992
"394","US48","USA","Texas",NULL,NULL,43485,44556,45443,47314,47585,46893,47773,49989,51873,54018,55994,56535,51704,53402,55399,56660,58382,58937,57097,55512,57186,59710
