"","lv1","lv2","n","TOT_P_2021","urban_pop","n_0","TIME_TOWN_5K_1_MED","TIME_TOWN_10K_1_MED","TIME_TOWN_50K_1_MED","TIME_TOWN_5K_2_MED","TIME_TOWN_10K_2_MED","TIME_TOWN_50K_2_MED","TIME_TOWN_5K_3_MED","TIME_TOWN_10K_3_MED","TIME_TOWN_50K_3_MED","N_TOWN_5K_15MN_MED","N_TOWN_5K_30MN_MED","N_TOWN_5K_60MN_MED","N_TOWN_5K_120MN_MED","N_TOWN_10K_15MN_MED","N_TOWN_10K_30MN_MED","N_TOWN_10K_60MN_MED","N_TOWN_10K_120MN_MED","N_TOWN_50K_15MN_MED","N_TOWN_50K_30MN_MED","N_TOWN_50K_60MN_MED","N_TOWN_50K_120MN_MED","POP_TOWN_5K_15MN_MED","POP_TOWN_5K_30MN_MED","POP_TOWN_5K_60MN_MED","POP_TOWN_5K_120MN_MED","POP_TOWN_10K_15MN_MED","POP_TOWN_10K_30MN_MED","POP_TOWN_10K_60MN_MED","POP_TOWN_10K_120MN_MED","POP_TOWN_50K_15MN_MED","POP_TOWN_50K_30MN_MED","POP_TOWN_50K_60MN_MED","POP_TOWN_50K_120MN_MED","TIME_TOWN_5K_1_wmean","TIME_TOWN_10K_1_wmean","TIME_TOWN_50K_1_wmean","TIME_TOWN_5K_2_wmean","TIME_TOWN_10K_2_wmean","TIME_TOWN_50K_2_wmean","TIME_TOWN_5K_3_wmean","TIME_TOWN_10K_3_wmean","TIME_TOWN_50K_3_wmean","N_TOWN_5K_15MN_wmean","N_TOWN_5K_30MN_wmean","N_TOWN_5K_60MN_wmean","N_TOWN_5K_120MN_wmean","N_TOWN_10K_15MN_wmean","N_TOWN_10K_30MN_wmean","N_TOWN_10K_60MN_wmean","N_TOWN_10K_120MN_wmean","N_TOWN_50K_15MN_wmean","N_TOWN_50K_30MN_wmean","N_TOWN_50K_60MN_wmean","N_TOWN_50K_120MN_wmean","POP_TOWN_5K_15MN_wmean","POP_TOWN_5K_30MN_wmean","POP_TOWN_5K_60MN_wmean","POP_TOWN_5K_120MN_wmean","POP_TOWN_10K_15MN_wmean","POP_TOWN_10K_30MN_wmean","POP_TOWN_10K_60MN_wmean","POP_TOWN_10K_120MN_wmean","POP_TOWN_50K_15MN_wmean","POP_TOWN_50K_30MN_wmean","POP_TOWN_50K_60MN_wmean","POP_TOWN_50K_120MN_wmean","TIME_TOWN_5K_1_Q1","TIME_TOWN_10K_1_Q1","TIME_TOWN_50K_1_Q1","TIME_TOWN_5K_2_Q1","TIME_TOWN_10K_2_Q1","TIME_TOWN_50K_2_Q1","TIME_TOWN_5K_3_Q1","TIME_TOWN_10K_3_Q1","TIME_TOWN_50K_3_Q1","N_TOWN_5K_15MN_Q1","N_TOWN_5K_30MN_Q1","N_TOWN_5K_60MN_Q1","N_TOWN_5K_120MN_Q1","N_TOWN_10K_15MN_Q1","N_TOWN_10K_30MN_Q1","N_TOWN_10K_60MN_Q1","N_TOWN_10K_120MN_Q1","N_TOWN_50K_15MN_Q1","N_TOWN_50K_30MN_Q1","N_TOWN_50K_60MN_Q1","N_TOWN_50K_120MN_Q1","POP_TOWN_5K_15MN_Q1","POP_TOWN_5K_30MN_Q1","POP_TOWN_5K_60MN_Q1","POP_TOWN_5K_120MN_Q1","POP_TOWN_10K_15MN_Q1","POP_TOWN_10K_30MN_Q1","POP_TOWN_10K_60MN_Q1","POP_TOWN_10K_120MN_Q1","POP_TOWN_50K_15MN_Q1","POP_TOWN_50K_30MN_Q1","POP_TOWN_50K_60MN_Q1","POP_TOWN_50K_120MN_Q1","TIME_TOWN_5K_1_Q3","TIME_TOWN_10K_1_Q3","TIME_TOWN_50K_1_Q3","TIME_TOWN_5K_2_Q3","TIME_TOWN_10K_2_Q3","TIME_TOWN_50K_2_Q3","TIME_TOWN_5K_3_Q3","TIME_TOWN_10K_3_Q3","TIME_TOWN_50K_3_Q3","N_TOWN_5K_15MN_Q3","N_TOWN_5K_30MN_Q3","N_TOWN_5K_60MN_Q3","N_TOWN_5K_120MN_Q3","N_TOWN_10K_15MN_Q3","N_TOWN_10K_30MN_Q3","N_TOWN_10K_60MN_Q3","N_TOWN_10K_120MN_Q3","N_TOWN_50K_15MN_Q3","N_TOWN_50K_30MN_Q3","N_TOWN_50K_60MN_Q3","N_TOWN_50K_120MN_Q3","POP_TOWN_5K_15MN_Q3","POP_TOWN_5K_30MN_Q3","POP_TOWN_5K_60MN_Q3","POP_TOWN_5K_120MN_Q3","POP_TOWN_10K_15MN_Q3","POP_TOWN_10K_30MN_Q3","POP_TOWN_10K_60MN_Q3","POP_TOWN_10K_120MN_Q3","POP_TOWN_50K_15MN_Q3","POP_TOWN_50K_30MN_Q3","POP_TOWN_50K_60MN_Q3","POP_TOWN_50K_120MN_Q3"
"1","Cities","AT1",244,1872234,1872234,244,0,0,0,15.8,19.35,59.3,17.9,21.7,89.8,1,10,39,82,1,5,15,33,1,1,2,3,1686260,1798508,2316686.5,2931058,1686260,1750020,2146365,2603631,1686260,1686260,1947076,2007837,0,0,0,16.8261640905998,19.2240903647728,58.4731044837344,18.8082268562583,21.3383917288117,NA,1.46750139138591,10.669371456773,40.1679645813504,81.7689888122959,1.28054826480023,4.73854763881011,15.2338089149113,32.7907761529809,1,1,1.60736798925775,3.03399094343976,1693350.35744036,1799004.93018768,2285371.88109339,2932626.9979244,1691796.58700729,1754408.44534177,2111237.81323115,2601278.69680713,1686260,1686260,1844671.28948625,2012440.01813449,0,0,0,13.175,15.4,56.2,15.9,18.475,86.9,1,9,37,78,1,4,14,31,1,1,1,3,1686260,1778624,2111599,2897524.75,1686260,1738762,1948122,2566565,1686260,1686260,1686260,2007837,0,0,0,19.1,23.55,62.925,21.125,25.425,93.5,2,12,41,84,1,6,15,35,1,1,2,3,1698919,1811167,2386909,2959797,1686260,1778809,2208938,2628714,1686260,1686260,1947076,2007837
"2","Cities","AT2",71,311056,311056,71,0,0,0,12.9,17.4,53,18.5,41.7,90.6,2,4,19,49,1,2,6,10,1,1,2,4,224064,246858,445983,806148,218869,233824,353313,529970,218869,218869,301430,429259,0,0,0,14.546245692094,19.3025972815184,53.9483028779384,19.4754902654184,40.9302678617355,90.2140739931074,1.86353904120158,3.73418934211203,17.1913803302299,47.5898841366185,1.2816952574456,1.82261393446839,5.83265392726712,11.5050280335374,1,1,1.76829895581503,3.90785582017386,190915.761750296,209870.405148912,387376.421483591,838583.048685767,187893.083293683,197002.340147755,305749.589630163,582211.221831439,183680.330718584,183680.330718584,247111.860809629,456534.125067512,0,0,0,10.55,15,48.55,16.2,39,87.35,1,3,11,46,1,2,6,10,1,1,1,4,66998,116239,198566,806148,66998,100729,162495,529970,66998,66998,66998,429259,0,0,0,20.05,28.35,64.2,25.9,44.95,93.5,2,4,19,49,1.5,2,6,14.5,1,1,2,4,228944,246858,448912,880136.5,226346.5,233824,353313,693950,218869,218869,301430,497720
"3","Cities","AT3",150,583924,583924,150,0,0,0,12.4,13.85,31.45,15.75,20.4,78.9,2,11,29,68,2,4,8,22.5,1,1,2,3,144204,261232,475565,914132,144204,218546,317004,532268.5,132226,132226,207407,324844,0,0,0,12.1178857180044,14.4343712537933,46.8719609058713,16.0387856981388,20.2917331707551,78.6663872353252,2.48756345003802,9.5255512703708,27.8189952802077,71.8309077893698,1.68472095683685,4.46314417629692,9.10820414985512,23.8212404353991,1,1.41513279125366,1.75201053561765,3.90535240887513,152480.745276783,249983.520129332,436188.299126256,1372782.65986327,146563.675682109,214672.801129942,306607.341547873,1031157.28244772,135723.779743597,170638.415624294,190950.199722909,717226.584838095,0,0,0,10.3,12,25.8,13.5,17.925,70.225,2,7,25,53,1,3,6,12,1,1,2,3,119479,188072,367407,768607,113111,172697,263984,481292,113111,121990,132226,324844,0,0,0,13.7,17.175,59.7,18.7,22.7,86.625,3,12,30,79,2,5,10.75,29,1,2,2,5,214251,318216,484075,2446752.25,205850,269526,317004,2051155.5,194405,245385,245385,1013627
"4","Cities","BE1",132,1188140,1188140,132,0,0,0,14.85,15.9,25.3,17.95,19.35,27.75,2,15,91,231,1,9,41,102,1,3,10,22,1247485,1549903,3561008.5,7473741,1241750,1499165,3208906,6588486,1241750,1378157,2604912,5076205,0,0,0,15.2546976787247,15.9091962226674,25.1360459205144,17.9570328412477,19.2031418856364,27.1449434410086,1.58657397276415,15.0541064184355,90.851242277846,231.103459188311,1.46623882707425,9.02795798474927,41.2367229451075,102.672759944114,1,2.6733112259498,10.121842543808,21.7843478041308,1250523.07783426,1599051.91016968,3596070.54631357,7475591.19279799,1249780.02329523,1557748.7455485,3244455.73645193,6580908.73511118,1241750,1409279.82296531,2639048.88916878,5040237.32551888,0,0,0,11.475,12.85,21.5,15.575,16.775,23.65,1,14,88,228,1,8,40,101,1,2,10,22,1241750,1502842.5,3511538.25,7446169,1241750,1470496,3182864,6555568.25,1241750,1307743,2604912,5049216,0,0,0,17.5,18.325,28.525,19.3,21.4,30.925,2,17,94,233,2,10,42.25,104,1,3,10,22,1251940,1578759,3610890.75,7533628.75,1251940,1536489,3258492,6638030,1241750,1378157,2607955,5076205
"5","Cities","BE2",366,1408712,1408712,366,0,0,0,11.7,14.4,17.6,15,16.45,27.1,2,18,91,235,2,10,44,106,1,3,10,23,574945,1008571,3854782.5,7575389,569249,920436.5,3547128.5,6687620,555063,730944,2884821,5126895,0,0,0,12.6677785097309,14.6300650523315,19.0045151173554,15.1912999960247,17.3825885631698,26.8981753545082,3.01233467167171,19.1991429050083,90.7668004531799,234.815735224801,2.19103691883082,10.8008145028934,44.2793487952115,113.484463112403,1.33254561613729,2.78136482119837,10.0527957453333,26.3770387417726,515756.968562062,1161102.72698536,3812285.98095281,8458272.15217376,510332.609180585,1101510.51293096,3482830.53091335,7612454.40657565,494270.776747128,936803.791116282,2799387.71805167,5878121.73174432,0,0,0,8.6,10.75,14.9,12.225,13.9,21.125,1,13,78,214,1,6.25,39,96,1,2,9,21,100708.5,377704,3577226.75,6800027,94726.5,318595,3230179,5955525,92630,216134,2604912,4511288,0,0,0,17.275,19.5,24.9,19.175,21.8,34.25,4,23,103,267,3,13,49,135,2,4,11,32,657641,1620406.25,4177098.75,10072022,648684,1571703.25,3814189,9150239.25,607915,1378157,3132603,7017193
"6","Cities","BE3",314,890764,890764,314,0,0,0,12.9,15.45,21.85,15.55,21.6,27.2,2,13,63,185,1,6,27.5,81,1,3,9,18,234271,476429.5,2652987.5,6201503,219844,427261,2381857,5505722,209647,340097,2109815,4289016,0.102200133817712,0.102200133817712,0.102200133817712,13.8515539469489,16.0815535877067,22.4267738705202,16.2839578159872,22.0490948219731,28.4357793983591,2.32574845862653,12.5462659020796,64.9537183810751,195.595633635845,1.54691253800109,5.49261083743842,27.7440680135255,83.4213517834129,1.03140674746622,2.63788725184224,9.1415369278507,19.4261487891293,297210.583187017,539439.251554845,2632393.87074915,6681161.1368578,292058.537015416,489349.327411076,2376667.85974512,5906402.55804006,284417.147695686,443202.067165938,2029245.74155332,4694185.06567172,0,0,0,9.925,12,19.425,12.9,19.3,24.425,1,10,58,169,1,5,23,73,1,2,8,17,103574,404700,2254727.5,5973966.5,98476,346691,1983305,5296356,74361,272256,1748272,4234258,0,0,0,17.2,19.7,25.375,20.025,24.775,31.5,3,15,71,219,2,7,31,91,1,3,10,22,361543,596990,3175591.25,7279178.5,361543,552393,2934105,6396857.75,361543,528297,2626645,5156224
"7","Cities","BG3",178,1073322,1073322,178,0,0,0,20.8,25.8,46.95,36.85,46.8,73.1,1,2,8,26,1,2,4,13,1,1,2,4,102615,139181.5,231592,718381,102615,139181.5,213322,646666,102615,126468.5,194284,473295,0.0385051270727703,0.0385051270727703,0.0385051270727703,21.2883642560201,24.3031614930095,55.6917419003803,31.2713004112466,49.4153029566151,77.3653704107435,1.56602585244689,3.03189164109186,8.15356808115365,25.6848755545866,1.28878193123778,1.81861920281146,4.11641520438415,11.1678732011456,1.0066699462044,1.2157190479651,1.94661993325395,3.74059881377629,155421.146146264,179719.411452481,311766.040499496,939720.878433499,153433.329397888,172163.193014771,284186.980346066,843612.605792111,146057.977320879,159442.853376713,241302.53168108,682924.510014702,0,0,0,15.875,16.25,29.925,23.425,43.325,64.425,1,2,5,19,1,1,2,7,1,1,1,3,72050,92338,191743,584970,72050,85641,186385,497432,72050,85641,122846,438388,0,0,0,28.8,36.775,62.225,40.375,61.325,89.5,1,3,9,28,1,2,5,14,1,1.75,2,5,142155.25,194284,421599.25,979233,138520,194284,394175,869820,138520,194284,367476,709096
"8","Cities","BG4",220,1544395,1544395,220,0,0,0,18.05,23,67.9,20.55,28.4,78.6,1,6.5,18,37,1,3,7,14,1,1,1,3,1147110,1181399,1328998,1652175,1147110,1153333,1258956,1499166.5,1147110,1147110,1147110,1239298,0,0,0,18.1085501442312,23.899279523697,63.3593861673988,20.7738689907698,28.5900878984975,NA,1.26022228769194,7.09021655729266,16.4760951699533,36.064230329676,1.0492063235118,2.91011690662039,6.69690526063604,14.5108323971523,1,1,1.23046047157625,2.96593034812985,873579.206598053,934181.085382949,1077486.1458474,1499782.64341441,872384.074564473,909183.854009499,1014615.64751634,1353919.06603945,871794.862944389,871794.862944389,901790.833758851,1109642.51262663,0,0,0,16,19.7,60.275,18.475,23.7,67.2,1,4,14,34,1,2,6,14,1,1,1,2,321400,382650,530145.25,1580469,321400,377520,484830,1439893.5,321400,321400,389361,1210603,0,0,0,20.35,28.55,72.65,23,34.525,84.6,1,9,18,38,1,4,7,15,1,1,1,3,1147110,1226013,1348132,1671354,1147110,1196985,1278090,1508532,1147110,1147110,1147110,1278564
"9","Cities","CH0",652,2729276,2729276,652,0,0,0,12,15.1,26.85,15.1,19.25,42.25,2,15,60,172.5,1,6,25,68,1,2,4,10,409235.5,527481,1754521.5,3900440.5,402511,477670,1442506,3173852,391142,407878,955812,1988490,0.272822536086493,0.272822536086493,0.272822536086493,11.6373289106708,14.3433713189872,28.0455887935115,14.631521766212,18.1527206848996,42.3282363894307,2.91873705700706,15.8170148420314,58.0615078870733,149.847118429943,1.8222140230596,6.76229813327784,24.917103656794,61.8903515071396,1.03333081740359,1.69686099903418,4.46674795806654,9.60837013185914,395813.662696261,634631.32969183,1716416.65911985,3483173.60437347,388152.304640132,570387.856640003,1478848.59585582,2862420.34508969,374934.975321294,471633.63079989,1082799.58306122,1860209.24867108,0,0,0,9.5,12,21.875,12.9,15.7,35.9,2,12,40,129,1,5,17,48,1,1,3,8,166933,331374,1058696,3259888.75,161053,268935,953725,2554548.75,161053,217838,728784,1766451.5,0,0,0,14.8,18.425,32.9,17.6,22.2,49.225,4,19,77,191,2,8,33,80,1,2,5,12,656419,947213,2143241,4242244.5,656419,863116,1880963,3436469,656419,748405,1386017,2139337
"10","Cities","CY0",134,438861,438861,134,0,0,0,12.4,15.45,39.45,25.2,25.2,62.6,2,3,6,10,1,3,5,7,1,1,2,3,163662,163662,300523,502196,156304,156304,300523,482972,156304,156304,263682,419986,0,0,0,12.1504868284035,27.4894832304534,43.1871444489257,33.8681865100795,34.8563722909988,61.5776788094636,1.80749257737644,2.67243842583415,6.20794966971319,9.74167674958586,1.44923107772165,2.24989233493065,5.2302072865896,6.80232237542183,1,1,2.2645552919945,3,170160.568692593,180643.758791508,339081.650565897,496629.216098036,167524.480578133,177637.24562219,332876.068743862,477803.718505404,162242.891430316,162242.891430316,291161.79132117,419986,0,0,0,10.1,12.4,36.725,22.625,22.625,59.425,2,2,5,9,1,1,5,7,1,1,2,3,163662,163662,280853,495625,156304,156304,273495,482972,156304,156304,222119,419986,0,0,0,14.8,50.95,51.15,50.95,53.475,65.175,2,3,7,10,2,3,6,7,1,1,3,3,209477,222313,462122,502196,209477,222313,456827,482972,197867,197867,419986,419986
