"","NUTS_ID","n","TOT_P_2021","urban_pop","n_0","TIME_TOWN_5K_1_MED","TIME_TOWN_10K_1_MED","TIME_TOWN_50K_1_MED","TIME_TOWN_5K_2_MED","TIME_TOWN_10K_2_MED","TIME_TOWN_50K_2_MED","TIME_TOWN_5K_3_MED","TIME_TOWN_10K_3_MED","TIME_TOWN_50K_3_MED","N_TOWN_5K_15MN_MED","N_TOWN_5K_30MN_MED","N_TOWN_5K_60MN_MED","N_TOWN_5K_120MN_MED","N_TOWN_10K_15MN_MED","N_TOWN_10K_30MN_MED","N_TOWN_10K_60MN_MED","N_TOWN_10K_120MN_MED","N_TOWN_50K_15MN_MED","N_TOWN_50K_30MN_MED","N_TOWN_50K_60MN_MED","N_TOWN_50K_120MN_MED","POP_TOWN_5K_15MN_MED","POP_TOWN_5K_30MN_MED","POP_TOWN_5K_60MN_MED","POP_TOWN_5K_120MN_MED","POP_TOWN_10K_15MN_MED","POP_TOWN_10K_30MN_MED","POP_TOWN_10K_60MN_MED","POP_TOWN_10K_120MN_MED","POP_TOWN_50K_15MN_MED","POP_TOWN_50K_30MN_MED","POP_TOWN_50K_60MN_MED","POP_TOWN_50K_120MN_MED","TIME_TOWN_5K_1_wmean","TIME_TOWN_10K_1_wmean","TIME_TOWN_50K_1_wmean","TIME_TOWN_5K_2_wmean","TIME_TOWN_10K_2_wmean","TIME_TOWN_50K_2_wmean","TIME_TOWN_5K_3_wmean","TIME_TOWN_10K_3_wmean","TIME_TOWN_50K_3_wmean","N_TOWN_5K_15MN_wmean","N_TOWN_5K_30MN_wmean","N_TOWN_5K_60MN_wmean","N_TOWN_5K_120MN_wmean","N_TOWN_10K_15MN_wmean","N_TOWN_10K_30MN_wmean","N_TOWN_10K_60MN_wmean","N_TOWN_10K_120MN_wmean","N_TOWN_50K_15MN_wmean","N_TOWN_50K_30MN_wmean","N_TOWN_50K_60MN_wmean","N_TOWN_50K_120MN_wmean","POP_TOWN_5K_15MN_wmean","POP_TOWN_5K_30MN_wmean","POP_TOWN_5K_60MN_wmean","POP_TOWN_5K_120MN_wmean","POP_TOWN_10K_15MN_wmean","POP_TOWN_10K_30MN_wmean","POP_TOWN_10K_60MN_wmean","POP_TOWN_10K_120MN_wmean","POP_TOWN_50K_15MN_wmean","POP_TOWN_50K_30MN_wmean","POP_TOWN_50K_60MN_wmean","POP_TOWN_50K_120MN_wmean","TIME_TOWN_5K_1_Q1","TIME_TOWN_10K_1_Q1","TIME_TOWN_50K_1_Q1","TIME_TOWN_5K_2_Q1","TIME_TOWN_10K_2_Q1","TIME_TOWN_50K_2_Q1","TIME_TOWN_5K_3_Q1","TIME_TOWN_10K_3_Q1","TIME_TOWN_50K_3_Q1","N_TOWN_5K_15MN_Q1","N_TOWN_5K_30MN_Q1","N_TOWN_5K_60MN_Q1","N_TOWN_5K_120MN_Q1","N_TOWN_10K_15MN_Q1","N_TOWN_10K_30MN_Q1","N_TOWN_10K_60MN_Q1","N_TOWN_10K_120MN_Q1","N_TOWN_50K_15MN_Q1","N_TOWN_50K_30MN_Q1","N_TOWN_50K_60MN_Q1","N_TOWN_50K_120MN_Q1","POP_TOWN_5K_15MN_Q1","POP_TOWN_5K_30MN_Q1","POP_TOWN_5K_60MN_Q1","POP_TOWN_5K_120MN_Q1","POP_TOWN_10K_15MN_Q1","POP_TOWN_10K_30MN_Q1","POP_TOWN_10K_60MN_Q1","POP_TOWN_10K_120MN_Q1","POP_TOWN_50K_15MN_Q1","POP_TOWN_50K_30MN_Q1","POP_TOWN_50K_60MN_Q1","POP_TOWN_50K_120MN_Q1","TIME_TOWN_5K_1_Q3","TIME_TOWN_10K_1_Q3","TIME_TOWN_50K_1_Q3","TIME_TOWN_5K_2_Q3","TIME_TOWN_10K_2_Q3","TIME_TOWN_50K_2_Q3","TIME_TOWN_5K_3_Q3","TIME_TOWN_10K_3_Q3","TIME_TOWN_50K_3_Q3","N_TOWN_5K_15MN_Q3","N_TOWN_5K_30MN_Q3","N_TOWN_5K_60MN_Q3","N_TOWN_5K_120MN_Q3","N_TOWN_10K_15MN_Q3","N_TOWN_10K_30MN_Q3","N_TOWN_10K_60MN_Q3","N_TOWN_10K_120MN_Q3","N_TOWN_50K_15MN_Q3","N_TOWN_50K_30MN_Q3","N_TOWN_50K_60MN_Q3","N_TOWN_50K_120MN_Q3","POP_TOWN_5K_15MN_Q3","POP_TOWN_5K_30MN_Q3","POP_TOWN_5K_60MN_Q3","POP_TOWN_5K_120MN_Q3","POP_TOWN_10K_15MN_Q3","POP_TOWN_10K_30MN_Q3","POP_TOWN_10K_60MN_Q3","POP_TOWN_10K_120MN_Q3","POP_TOWN_50K_15MN_Q3","POP_TOWN_50K_30MN_Q3","POP_TOWN_50K_60MN_Q3","POP_TOWN_50K_120MN_Q3"
"1","AT1",13131,3920271,2010920,294,17.2,27.1,47.7,24.4,38.7,74.7,28.9,45.2,90.3,0,3,18,64,0,1,6,22,NA,NA,1,3,0,25172,1804741,2612758,0,13168,1736950,2329819,NA,NA,1686260,1960124,5.8986084380391,10.1744689078893,17.8763165097515,17.8015928490658,24.8412892629105,NA,21.024360280195,28.8197776888384,NA,1.44461339534945,8.23438609218597,32.3444221075533,77.746322129261,0.964488679481597,3.56958332727508,12.2900949959837,30.1782611457218,NA,NA,NA,NA,974086.866783954,1242919.86325588,1951621.2359393,2808512.20877409,970600.667656904,1208788.8153217,1811959.04162187,2486984.76455862,NA,NA,NA,NA,10.5,17.1,32.2,17.4,27.8,62.4,21.6,33.3,79.1,0,1,9,56,0,0,3,17,NA,NA,1,2,0,8574,111521,2427887,0,0,60240,2155235,NA,NA,279700,1880665,25,40.5,61.9,33.4,53.4,88.7,38.4,59.8,102.3,1,5,25,77,0,2,10,29,NA,NA,2,4,9031,71756,1967835,2982055,0,59060,1856693,2668652,NA,NA,1686260,2162391
"2","AT2",13931,1816573,380002,96,20.8,37.3,45.2,31,51,75.2,37.4,61,95.2,0,1,9,44,0,0,2,13,NA,NA,1,3,0,12589,168189,801088,0,0,135649,558058,NA,NA,218869,368428,12.0952056977616,22.9388690132463,31.2183897371589,24.362518764729,37.5269354988761,NA,30.5684463547571,50.916481308486,NA,0.963224709384099,2.77508088031695,12.3957308624536,45.0517215658275,0.464123930059513,1.0449373628255,3.91934758471033,12.9331637099087,NA,NA,NA,NA,59649.6357878269,107515.872977304,290500.626131733,914447.123243602,56305.8120840726,95504.0555232297,230643.955912589,687718.886267163,NA,NA,NA,NA,14.05,24.9,30.4,23.5,38.1,61.3,29.2,49.4,85,0,1,5,35,0,0,1,10,NA,NA,1,3,0,5519,81779,659405,0,0,52164,469139,NA,NA,66998,359343,29.15,49.3,60.6,41.2,61.8,90.6,47.9,71.2,106,1,3,12,51,0,1,4,15,NA,NA,2,3,6078,54169,332109,895900,0,33731,270752,694470,NA,NA,285867,497720
"3","AT3",15836,3245361,762868,214,16.3,29.1,38.2,24,40.4,60.8,29.1,45.9,83.2,0,3,17,61,0,1,5,18,NA,NA,2,3,0,24789,319645,929151,0,10836,234549,610406,NA,NA,194405,377611,9.52148426631122,17.9159962789964,NA,18.4873227046236,29.2988168958707,NA,23.519546731473,35.3312385278557,NA,1.61930121179123,6.16273289781938,22.579524435032,72.5369806317387,0.88202699175839,2.6433641742783,7.76002854536059,25.8174270905456,NA,NA,NA,NA,61680.5062339752,142996.156324674,394343.024588944,1428806.90364739,56396.389375789,118050.580659594,289457.283985356,1096682.38746968,NA,NA,NA,NA,10.6,18.3,25.1,17.8,29.3,46.9,22.4,34.7,71.3,0,1,10,51,0,0,3,13,NA,NA,1,3,0,9288,213150,762011.5,0,0,167219,481292,NA,NA,132226,324844,24.2,39.7,52.1,31.5,50.5,77.375,37.5,56.6,96.4,1,5,24,75,0,2,7,25,NA,NA,2,4,8730,138456,426749.5,1209114,0,126177,302116,802080,NA,NA,245385,490211
"4","BE1",150,1201067,1188140,132,0,0,0,14.45,16.05,25.75,18.05,19.4,27.9,2,15,91,230,1,9,41,102,1,3,10,22,1247485,1549903,3554102,7470296.5,1241750,1498751,3207087,6586702.5,1241750,1378157,2604912,5076205,0.0375223030855065,0.0375223030855065,0.0375223030855065,15.2392095528393,15.9174533144279,25.1628496162163,17.9532253404681,19.2014237340631,27.1736172919579,1.58957243850676,15.0477317252077,90.7759900155445,231.045982447274,1.46549443120159,9.01787077656783,41.2045747656042,102.655522131571,1,2.66867710127745,10.1189775424685,21.7889002029029,1250557.56654208,1598977.0833742,3594763.62165724,7475321.45982364,1249784.24559579,1557619.6663883,3243491.46576086,6580881.20910407,1241750,1409278.37297087,2638565.31385759,5040661.3132573,0,0,0,11.425,12.925,21.55,15.525,16.825,23.8,1,14,87,227,1,8,40,101,1,2,10,22,1241750,1501191.75,3500571,7437757,1241750,1459755,3164386,6553238,1241750,1307743,2604912,5049216,0,0,0,17.4,18.4,28.975,19.275,21.4,31.15,2,17,93,233,2,10,42,104,1,3,10,22,1251940,1578391.5,3604257,7528916.5,1251940,1536489,3251063.25,6638030,1241750,1378157,2604912,5076205
"5","BE2",12590,6679478,1781072,477,9,12.1,20.3,13.8,18.3,29.3,16.8,22,36.6,2,12,71,234,1,6,34,106,NA,2,8,24,25814,422878,3252634.5,7611118,16434,380080,3018577,6664439,NA,555063,2524978,5046377.5,5.74421971297756,8.27139363285572,14.6099775611208,12.6191868586139,16.2081415044708,25.5699292070429,15.5297141782636,19.5283156408331,32.7805374312184,2.63158662997318,14.5649410028748,79.0425407494418,241.813600404103,1.60256011023616,7.67820344643698,38.1679325839534,113.924159043566,NA,NA,NA,25.9560678244617,293942.40384578,914776.449765086,3429931.98866917,8400384.43823305,286864.398930276,866837.229593989,3144732.38067855,7513834.73490129,NA,NA,NA,5776064.96566289,6.2,8.2,13.1,11.2,14.6,23.1,14.1,18.1,30.8,1,9,58,194,0,4,27,87,NA,1,6,20,11144,203948,2321982.25,6473473,0,170309,2056718,5704453,NA,216134,1590469,4306819,11.9,16.5,27.2,16.5,22.2,35.2,19.4,26.2,41.9,3,15,83,278,2,8,40,133,NA,3,10,30,88871,1161258.5,3804683.5,9651653.25,81674,1117269,3492249,8697646,NA,1070241,2906629,6680641
"6","BE3",11439,3688490,1032766,363,11.3,17.4,23.2,17.2,24.8,33.6,21,30.1,40.7,1,7,47,176,0,2,19,74,NA,2,7,17,9811,232047,2130305,5763386,0,209647,1925761,5061256,NA,340097,1732320,3963190,6.89262351260271,10.9880004012482,14.6741161288224,15.014104010042,20.927596116568,28.7513805107239,18.2384701327643,26.1765809043809,35.7696130665936,2.13671719321457,11.0125018639064,58.1801696629244,182.540264986485,1.09468156345822,4.77003245230433,25.007932785503,77.6285428454462,NA,NA,NA,17.9605087718823,158837.353198192,538929.477198257,2450672.93068437,6038266.84950156,151482.450045954,494644.572334207,2220430.89973729,5309965.20003877,NA,NA,NA,4180461.17097647,7.5,11.1,14.2,13.2,18.6,25.1,16.2,22.9,32,0,3,21,124,0,1,7,51,NA,1,3,13,0,22945,578764.5,4024926.5,0,10271,489883,3519584.5,NA,178177,424152,2823088,17.1,29.7,35.2,24.9,39.6,48.5,29.4,45.6,58.4,2,12,65,198,1,5,29,84,NA,3,9,19,62609,459958,3037764.5,6376918.5,56089,416301,2788667,5596306.5,NA,528297,2439742,4346052
"7","BG3",11759,3156306,1299785,242,23.1,32.8,50.6,38.4,50.9,85.5,48.1,67.2,103.6,0,1,4,19,0,0,2,8,NA,NA,1,3,0,9552,112609,551146,0,0,95407,483094,NA,NA,102615,348870,10.1318466270381,16.626410588834,29.8589614251597,28.7955333228148,37.4276654734997,NA,38.9401158506176,57.5158682333083,NA,0.998357573695326,2.05164011347442,6.32371512774744,22.2900754869775,0.732289898381209,1.17684597120811,3.20899843044369,9.94572230956061,NA,NA,NA,NA,72458.2011626883,98898.3237335037,219133.927668293,781972.226614593,70601.6476105295,93209.4924690445,197894.501559101,699722.94220459,NA,NA,NA,NA,13.8,19.5,31.2,29.1,37.4,65.6,39.2,53.5,85.3,0,0,3,16,0,0,1,7,NA,NA,1,2,0,0,53661,396823,0,0,40144,328012.5,NA,NA,70912,194284,34,47.4,68.2,48,64.05,104.3,58,79.8,121.2,1,2,6,23,0,1,3,10,NA,NA,2,4,5550,53634,185781,725087,0,53634,173344,649199,NA,NA,194284,500457
"8","BG4",9042,3266296,1769609,282,22.8,30.1,55,36.3,50.2,85.3,46.5,62.85,116.1,0,1,4,24,0,0,2,11,NA,NA,1,2,0,12953,115715.5,1085366,0,0,103969,1040113,NA,NA,389361,1204500,6.73267386054416,10.5151626796836,25.0977802685367,23.1284478810249,34.243577740658,NA,29.6348562408306,42.1301119371912,NA,1.10871060063142,4.67600639990987,12.2515408891295,31.1491086539616,0.809958436100096,2.07732122257138,5.23946298804517,13.1899585953018,NA,NA,NA,NA,473766.07804559,578062.018883775,786485.587022425,1318570.07622457,471902.230176322,562249.719518072,741360.601387014,1197685.27472219,NA,NA,NA,NA,12.2,16.7,31.7,24.1,34.3,68.2,33,44.2,89.8,0,0,2,14,0,0,1,8,NA,NA,1,2,0,0,37404,393436,0,0,20395,344742,NA,NA,70507,459868,36.7,48.7,82.9,50.5,69.6,114,60.9,83.5,149.5,1,2,9,31,0,1,5,14,NA,NA,2,3,7485,63493,696418,1552115,0,63493,672987,1451712,NA,NA,1147110,1210603
"9","CH0",20254,8952748,3214554,814,11,15.85,26.1,16.8,23.5,42.5,20.4,28.5,54.7,1,7,33,129,0,3,15,51,NA,1,3,8,12342,162691,855154,3040049,0,125314.5,736600,2478911.5,NA,217838,635321,1595572,5.32284050662435,8.03163602951854,17.2864437488915,13.2140397562849,17.9602219117527,36.6449497852505,16.8364843397804,22.6536014640421,NA,2.61495129763509,12.0678016403455,49.3542906602531,141.606332826524,1.44040991659767,5.39281022988696,21.1060540294444,59.0452085772994,NA,NA,NA,NA,207797.526421832,459739.097041154,1423720.2255245,3300236.61647094,199350.884936335,411702.819840121,1220937.42002534,2715338.68805656,NA,NA,NA,NA,6.8,9.7,15.9,12.4,17.4,31.4,15.7,21.6,45.1,0,3,19,87,0,1,8,38,NA,1,2,7,0,40807,430753,2178443.5,0,27393,361956,1789205,NA,156938,299393,1123094,17.3,24,40.4,24.3,32.8,56.8,28.8,39.4,68,2,11,53,162,1,5,23,67,NA,2,4,11,53725,312312,1542925,3778353.75,47465,277051,1318646,3103069.5,NA,407878,909458,2073374
"10","CY0",2714,914885,460462,141,18.1,21.9,26.9,28.4,44.8,57.9,43,52.8,70.9,0,2,5,9,0,1,3,7,NA,1,2,3,0,78210,280853,490330,0,78210,273495,482972,NA,156304,263682,419986,6.08234040343869,8.04991785852867,13.6839456325112,20.3284899194981,33.0013660733316,52.9585244047067,36.8215893800859,45.0983576077867,NA,1.40923941260377,2.39601152057362,5.67798575777284,9.08870185870355,1.11140853768506,1.93903823977877,4.5845379473923,6.44732288757603,NA,NA,NA,2.86798450078425,119925.162500205,148456.812102067,315178.873699973,478529.94067779,117827.890897763,145402.291986425,308218.369618039,461542.012303186,NA,NA,NA,407471.285321106,10,11.7,15.1,19.2,26.3,41.1,30,32.4,57.3,0,0,2,8,0,0,2,6,NA,1,1,3,0,0,163662,476051,0,0,156304,456827,NA,65815,156304,419986,30.3,34.1,42.575,47.8,58.4,76.4,60.1,78.5,84.6,1,2,7,10,1,2,6,7,NA,1,3,3,26145,197867,462122,502196,26145,197867,456827,482972,NA,197867,419986,419986
